col,city
SANTA ROSA DE JAUREG,QUERETARO
PARQUE INDUSTRIAL LERMA,LERMA
STA MARIA AZTAHUACAN,IZTAPALAPA
FRACC GRANADOS,ENSENADA
JARDINES EN LA MONTA,TLALPAN
EX-HACIENDA DE GUADA,ALVARO OBREGON
SM 63,BENITO JUAREZ
CELAYA CENTRO,CELAYA
LOS GOMEZ,SOLEDAD DE GRACIANO SANCHEZ
LADRON DE GUEVARA,GUADALAJARA
QUINTAS ANNA,TORREON
LOMAS ALTAS,MIGUEL HIDALGO
PUEBLO NUEVO,CARDENAS
BENITO JUAREZ,MAZATLAN
ESPIRITU SANTO,JILOTZINGO
ADOLFO LOPEZ MATEOS,ATIZAPAN DE ZARAGOZA
SAN FELIPE I,CHIHUAHUA
COMPLEJO INDUSTRIAL CUAMATLA,CUAUTITLAN IZCALLI
SAN ANTONIO DE LA PU,SANTIAGO DE QUERETARO
LOMAS DE SOTELO,MIGUEL HIDALGO
VISTAHERMOSA,ATLIXCO
ZONA CENTRO,ENSENADA
LOS REYES COYOACAN,COYOACAN
JUAREZ,CUAUHTEMOC
CENTRO SUR,QUERETARO
ANAHUAC II SECCION,MIGUEL HIDALGO
ITZMNA,MERIDA
FONTANA RESIDENCIAL,NAUCALPAN
GRANJAS MEXICO,IZTACALCO
IGUALA DE LA INDEPENDENCIA CEN,IGUALA DE LA INDEPENDENCIA
PLAYA DE ENSENADA,ENSENADA
SANTA PAULA,TONALA
INDUSTRIAL NAUCALPAN,NAUCALPAN DE JUAREZ
VALLE DORADO I,JUAREZ
COL INDUSTRIAL EL LE,SANTA CATARINA
ESCANDON I SECCION,MIGUEL HIDALGO
PARQUE IND FERROPUER,TORREON
LAS AGUILAS,ALVARO OBREGON
MOCTEZUMA 2A SECCION,VENUSTIANO CARRANZA
MOCTEZUMA 2A SECCION,VENUSTIANO CARRANZA
CENTRO,SANTIAGO DE QUERETARO
SANTA URSULA XITLA,TLALPAN
FLORIDA,ALVARO OBREGON
VALLE DE LA MISERICO,SAN PEDRO TLAQUEPAQUE
PASEOS DEL SOL,ZAPOPAN
PARQUE INDUSTRIAL FR,FRONTERA
EL VERGEL,CELAYA
SAN ANGEL,ALVARO OBREGON
EL PARQUE,NAUCALPAN DE JUAREZ
BO DE CUSTITLA,TIZAYUCA
EXTREMADURA INSURGEN,BENITO JUAREZ
JULIAN DE OBREGON,LEON
SAN MIGUEL EL ALTO,SAN MIGUEL EL ALTO
ANAHUAC I SECCION,MIGUEL HIDALGO
ACAYUCA,ZAPOTLAN DE JUAREZ
STA FE CUAJIMALPA,CUAJIMALPA DE MORELOS
NAPOLES,BENITO JUAREZ
LA JOLLA,TIJUANA
CENTRO DE ABASTOS,SAN LUIS POTOSI
EJIDOS DEL MORAL,IZTAPALAPA
LOMA DORADA,QUERETARO
PARQUE INDUSTRIAL CUAUTITLAN,CUAUTITLAN IZCALLI
CERRO GRANDE,ATIZAPAN DE ZARAGOZA
LOMAS PONIENTE,CIUDAD VALLES
JARDINES DEL CANADA,GRAL ESCOBEDO
REGION 98,BENITO JUAREZ
FLORIDA,CULIACAN
SAN ANDRES TETEPILCO,IZTAPALAPA
NAUCALPAN,NAUCALPAN DE JUAREZ
COL REAL DELAS LOMAS,MIGUEL HIDALGO
PLAN DE AYALA,TUXTLA GUTIERREZ
TUZANTAN,TUZANTAN
CENTRO,VERACRUZ
SAN LUIS POTOSI CENTRO,SAN LUIS POTOSI
CIUDAD CUAUHTEMOC CENTRO,CUAUHTEMOC
SAN BENITO,HERMOSILLO
POLANCO V SECCION,MIGUEL HIDALGO
CHACON,MINERAL DE LA REFORMA
NUEVA ANZURES,MIGUEL HIDALGO
LAS AGUILAS PILARES,ALVARO OBREGON
SANTIAGO AHUIZOTLA,AZCAPOTZALCO
SAN JUAN TUXCO,SAN MARTIN TEXMELUCAN
MORELOS,MORELOS
PARKE 2000,VERACRUZ
GUERRERO,CUAUHTEMOC
LINDAVISTA,GUSTAVO A MADERO
TEPEYAC,PUEBLA
CARLOS SALINAS DE GO,PLAYAS DE ROSARITO
LOS REYES IXTACALA 1RA SECCION,TLALNEPANTLA DE BAZ
CENTRO DISTRIBUIDOR DE BASICOS,AGUASCALIENTES
POLIGONO TIXCACAL OP,MERIDA
PUNTA JURIQUILLA,QUERETARO
BENITO JUAREZ (LA AURORA),NEZAHUALCOYOTL
COL REVOLUCION,TIJUANA
BUROCRATAS DEL ESTADO,MONTERREY
ALVARO OBREGON,IZTAPALAPA
CENTRO,CAJEME
SAN MARCOS,AZCAPOTZALCO
JOAQUIN COLOMBRES,PUEBLA
CONCEPCION LA CRUZ,PUEBLA
ZUMPAHUACAN,ZUMPAHUACAN
MODERNA,BENITO JUAREZ
TORIELLO GUERRA,TLALPAN
CENTRO AREA 1,CUAUHTEMOC
LA CALZADA,TUXPAN
SAN PEDRO EL CHICO,GUSTAVO A MADERO
LETRAN VALLE,BENITO JUAREZ
PROF CRISTOBAL HIGUERA AMPLIAC,ATIZAPAN DE ZARAGOZA
EL PASEO,SAN LUIS POTOSI
ANZURES,MIGUEL HIDALGO
GUADALUPE CALERAS,PUEBLA
LA GALERA,HUIMILPAN
JALOSTOTITLAN,JALOSTOTITLAN
ACOLMAN,ACOLMAN
NAPOLES,BENITO JUAREZ
ERA CHICA,SAN ANDRES CHOLULA
CIUDAD SATELITE,NAUCALPAN DE JUAREZ
TRES MISIONES,DURANGO
PERIODISTA,MIGUEL HIDALGO
SANTA CRUZ DE LAS FLORES,SAN MARTIN HIDALGO
MONRAZ,GUADALAJARA
LOC EL REAL DE ARRIB,TLALPUJAHUA
SANTA MARIA LA RIBERA,CUAUHTEMOC
RESIDENCIAL LONGORIA,NUEVO LAREDO
METROPOLITANA PRIMERA SECCION,NEZAHUALCOYOTL
EL CAMPANARIO,ZAPOPAN
MARINA VALLARTA,PUERTO VALLARTA
CIUDAD REYNOSA CENTRO,REYNOSA
TABACALERA,CUAUHTEMOC
ADOLFO LOPEZ MATEOS,RIO GRANDE
SANTA ANITA,IZTACALCO
POLANCO REFORMA,MIGUEL HIDALGO
MARINA VALLARTA,PUERTO VALLARTA
MERCADO DE ABASTOS,GUADALAJARA
SAN PABLO,QUERETARO
NAPOLES,BENITO JUAREZ
LAS MISIONES I II II,CHIHUAHUA
MATEHUALA CENTRO,MATEHUALA
SN JUAN IXHUATEPEC,TLALNEPANTLA
BENITO JUAREZ,QUERETARO
PARQUES INDUSTRIALES,SANTIAGO DE QUERETARO
CENTRO,ATOYAC DE ALVAREZ
EL VENADO,MINERAL DE LA REFORMA
EL MILAGRO,APODACA
LOS ARCOS,HERMOSILLO
CENTRO,CA�ITAS DE FELIPE PESCADOR
CENTRO DE LA CD DE M,CUAUHTEMOC
CUAUHTEMOC PENSIL,MIGUEL HIDALGO
PATHE,QUERETARO
LOMAS DE GUEVARA,GUADALAJARA
OTRA NO ESPECIFICA EN EL CATAL,QUERETARO
MERCED GOMEZ,ALVARO OBREGON
IND PARQ OPCION,SAN JOSE ITURBIDE
ANAHUAC,MIGUEL HIDALGO
TECNOLOGICO,PIEDRAS NEGRAS
AEROPUERTO,CHIHUAHUA
VERONICA ANZURES,MIGUEL HIDALGO
LA FLORIDA,TAMPICO
AVANTE,COYOACAN
MODERNA,GUADALAJARA
GALAXIATABASCO 2000,CENTRO
YURIRIA CENTRO,YURIRIA
PRESIDENTES,NACOZARI DE GARCIA
CENTRO,QUERETARO
FELIPE CARRILLO PUER,SANTIAGO DE QUERETARO
SAUZ DE VILLASE�OR,PENJAMO
EL MAGUEY,SAN FRANCISCO DEL RINCON
ZONA INDUSTRIAL,TIZAYUCA
CIUDAD DEL VALLE,TEPIC
CENTRO DE LA CIUDAD,CUAUHTEMOC
AEROPUERTO,ACU�A
MERIDA CENTRO,MERIDA
PARQUE INDUSTRIAL LE,LERMA
ANZURES,MIGUEL HIDALGO
ZACATLAN CENTRO,ZACATLAN
DEL VALLE,SAN PEDRO GARZA GARCIA
COSTA AZUL,ENSENADA
ZONA CENTRO,DURANGO
CHAPALITA,ZAPOPAN
OTRA NO ESPECIFICADA,SAN PEDRO CHOLULA
ARTEAGA CENTRO,ARTEAGA
AMPLIACION SANTA JUL,PACHUCA DE SOTO
CAMPESTRE,ALVARO OBREGON
LAS FUENTES,AHOME
LINDAVISTA,GUSTAVO A MADERO
AJUCHITLANCITO,PEDRO ESCOBEDO
POLANCO IV SECCION,MIGUEL HIDALGO
ZIND SUR,GUADALAJARA
NAPOLES,BENITO JUAREZ
TOLUCA,TOLUCA
CIMA COMERCIAL,CHIHUAHUA
COLONIAL IZTAPALAPA,IZTAPALAPA
CARBAJAL,MEXICALI
DIEZ DE MAYO,PUEBLA
GRAN BOULEVARD,NUEVO LAREDO
ATLACOMULCO DE FABELA,ATLACOMULCO
TEPALCATES,IZTAPALAPA
COL CENTRO,OTHON P BLANCO
LOMAS DE CHAPULTEPEC,MIGUEL HIDALGO
STA RITA,LEON
ZONA INDUSTRIAL,GUADALAJARA
DIECISEIS DE SEPTIEM,MIGUEL HIDALGO
GARCIA GINERES,MERIDA
SANTIAGO TIANGUISTEN,TIANGUISTENCO
SANTA ANITA,SAN PEDRO TLAQUEPAQUE
TERAN,TUXTLA GUTIERREZ
SANTIAGO,AMOZOC
LEYES DE REFORMA 3A,IZTAPALAPA
FOVISSSTE 1A ETAPA,CENTRO
FRACC JARDINES DEL BOSQUE,JUAREZ
ALGARIN,CUAUHTEMOC
BOSQUE ESMERALDA,ATIZAPAN DE ZARAGOZA
COMPLEJO INDUSTRIAL,CUAUTITLAN IZCALLI
SAN JOSE INSURGENTES,BENITO JUAREZ
MODERNA,MONTERREY
MERCED GOMEZ,ALVARO OBREGON
SMZA 539,BENITO JUAREZ
MONRAZ,GUADALAJARA
PULGAS PANDAS NORTE,AGUASCALIENTES
LA ESTANZUELA VIEJA,MONTERREY
LA FLORIDA,COATEPEC
SAN JUAN DE ARAGON 3,GUSTAVO A MADERO
INDUSTRIAL,MONTERREY
LOS REYES IXTACALA,TLALNEPANTLA DE BAZ
COMPLEJO INDUSTRIAL LAS AMERIC,CHIHUAHUA
GRANJAS MEXICO,IZTACALCO
CENTRAL DE ABASTO,IZTAPALAPA
AJUSCO,COYOACAN
LA PAZ,PUEBLA
CENTRO,NUEVO LAREDO
LOMAS DE ATIZAPAN,ATIZAPAN DE ZARAGOZA
LAZARO CARDENAS AMP,GENERAL ESCOBEDO
STA MARIA CHICONAUTLA,ECATEPEC DE MORELOS
FRACC ALTABRISA,MERIDA
CORREDOR IND QUETZALCOATL,SAN MARTIN TEXMELUCAN
PARQUE INDUSTRIAL I,GENERAL ESCOBEDO
CENTRO,AUTLAN DE NAVARRO
MECANICOS,ZACATECAS
SANTIAGO ATEPETLAC,GUSTAVO A MADERO
SAN MIGUEL ATEPOSCO,NOPALTEPEC
INDUSTRIAL ZAPOPAN NORTE,ZAPOPAN
LOMA BONITA,CUAUTITLAN
SAN JOSE INSURGENTES,BENITO JUAREZ
EL TECOLOTE,COLIMA
LAS PINTAS DE ABAJO,TLAQUEPAQUE
BUENA VISTA,CENTRO
CONDESA,CUAUHTEMOC
JUAREZ,CUAUHTEMOC
DEL VALLE,SAN PEDRO GARZA GARCIA
CENTRO DE LA CD DE M,CUAUHTEMOC
MARIA LUISA,MONTERREY
FRACC CUAHUTEMOC,AHOME
ANAHUAC LOS MOCHIS,AHOME
COL DOCTORES,CUAUHTEMOC
CUCHILLA DEL TESORO,GUSTAVO A MADERO
ANACLETO CANABAL 4TA SECCION,CENTRO
TIZAYUCA,TIZAYUCA
ROMA,CUAUHTEMOC
MILITAR MARTE,IZTACALCO
STA MARIA AZTAHUACAN,IZTAPALAPA
NUEVA SANTA MARIA,AZCAPOTZALCO
CENTRO DE LA CIUDAD,TEHUACAN
RIO VERDE CENTRO,RIOVERDE
ARENAL TEPEPAN,TLALPAN
RESIDENCIAL ABRAHAM LINCOLN,MONTERREY
MERCADO DE ABASTOS,GUADALAJARA
LA ESTANCIA,JACONA
CENTRAL DE ABASTOS,MORELIA
GRANADA,MIGUEL HIDALGO
SAN JERONIMO,MONTERREY
DEL NORTE,MONTERREY
EL ARENAL CHACHAPA,AMOZOC
LA MONTA�A,SANTIAGO DE QUERETARO
LOMAS DE CHAPULTEPEC,MIGUEL HIDALGO
TOMATLAN,ZACATLAN
ANACLETO CANABAL 1ER,CENTRO
DIEZ DE ABRIL,MIGUEL HIDALGO
DESARROLLO LA PRIMAVERA,CULIACAN
TECOMAN CENTRO,TECOMAN
PARQUE INDUSTRIAL CARLOS A HER,GOMEZ PALACIO
XOCHIMILCO,MEXICALI
VILLA UNION CENTRO,MAZATLAN
MISIONES DEL CABO,LOS CABOS
APODACA CENTRO,APODACA
VENTA PRIETA,PACHUCA DE SOTO
ZACUALTIPAN,ZACUALTIPAN DE ANGELES
LAGOS DEL BOSQUE,MONTERREY
CIUDAD GRANJA,ZAPOPAN
CAMINOS,CHILPANCINGO DE LOS BRAVO
EL PRADO,IZTAPALAPA
PLAZAS DEL SOL 3A SE,QUERETARO
NAPOLES,BENITO JUAREZ
LAS ENCINAS,GENERAL ESCOBEDO
AMPLIACION SANTA ROSA,GOMEZ PALACIO
LOMAS VERDES 4� SECCION,NAUCALPAN DE JUAREZ
ARENAL,AZCAPOTZALCO
CENTRO DE NEGOCIOS,MORELIA
PUEBLA 2000,PUEBLA
LA JOYA CHICA,TLALNEPANTLA DE BAZ
LINARES CENTRO,LINARES
INDUSTRIAL TLANEPANT,TLALNEPANTLA DE BAZ
FELIPE ANGELES,TULANCINGO DE BRAVO
SANTA ELENA ALCALDE,GUADALAJARA
VERACRUZ CENTRO,VERACRUZ
SAN LORENZO TEOTIPIL,TEHUACAN
GABRIEL LEYVA SOLANO,GUASAVE
SAN ANGEL,ALVARO OBREGON
GUADALUPE,COMITAN DE DOMINGUEZ
TORREON JDN,TORREON
PARQUE INDUSTRIAL AL,APODACA
ROMA NORTE,CUAUHTEMOC
RUSTICA XALOSTOC,ECATEPEC DE MORELOS
SANTA IRENE,HUEJUTLA DE REYES
SALTILLO CENTRO,SALTILLO
ALCE BLANCO,NAUCALPAN DE JUAREZ
STA CECILIA,COYOACAN
SMZ 84,BENITO JUAREZ
PRIMER CUADRO,AHOME
DE XOLOCO,TEZIUTLAN
MODELO,MONTERREY
LAS AMERICAS,MORELIA
ALCE BLANCO,NAUCALPAN DE JUAREZ
NUEVO CORDOBA,CORDOBA
GRANJAS MEXICO,IZTACALCO
POLANCO V SECCION,MIGUEL HIDALGO
LOMAS DE CHAPULTEPEC,MIGUEL HIDALGO
EL TOREO,MAZATLAN
TEPALCATES,IZTAPALAPA
PRADOS GLORIETA,SAN LUIS POTOSI
CENTRAL DE ABASTO,IZTAPALAPA
ESTRELLA DE OTE,SAN LUIS POTOSI
SAN PEDRO APATLACO,AYALA
SAN SEBASTIAN DEL AL,ENCARNACION DE DIAZ
SAN FRANCISCO CUAUTLALPAN,NAUCALPAN
CUAUHTEMOC,CUAUHTEMOC
LOS OLIVOS,TLAHUAC
NUEVO REPUEBLO,MONTERREY
TLALPAN,TLALPAN
TEOPANZOLCO,CUERNAVACA
SANTO DOMINGO,COYOACAN
CENTRO,ARANDAS
NOGALES CENTRO,NOGALES
CENTRAL DE ABASTOS,MORELIA
SAN MIGUEL,IZTAPALAPA
CENTRO (AREA 5),CUAUHTEMOC
GRANJAS MEXICO,IZTACALCO
AXOCHIAPAN,AXOCHIAPAN
JARDIN,NUEVO LAREDO
SANTIAGO,ZUMPANGO
COL UNID NACIONAL,SANTA CATARINA
LOS ALPES,ALVARO OBREGON
CORDOBA CENTRO,CORDOBA
MANUEL R DIAZ,CIUDAD MADERO
ALAMOS,BENITO JUAREZ
PASEO DE LAS LOMAS,ALVARO OBREGON
LOMAS DE ANGELOPOLIS,SAN ANDRES CHOLULA
VILLA DE POZOS,SAN LUIS POTOSI
CORRALEJO DE HIDALGO,PENJAMO
PARQUE INDUSTRIAL,NAUCALPAN DE JUAREZ
INDEPENDENCIA,IRAPUATO
SAN MARTIN TEPETLIXPAN,CUAUTITLAN IZCALLI
PESQUERIA,PESQUERIA
MOCTEZUMA 2A SECCION,VENUSTIANO CARRANZA
BENITO JUAREZ,QUERETARO
OBRERA,TAMPICO
TLALNEPANTLA CENTRO,TLALNEPANTLA DE BAZ
HUAMANTLA CENTRO,HUAMANTLA
3 RIOS,CULIACAN
PARQUE INDUSTRIAL PU,PUEBLA
DEPORTIVO LAGRANGE,SAN NICOLAS DE LOS GARZA
BALCONES DEL VALLE,SAN LUIS POTOSI
CENTRO,GUASAVE
CORDOBA CENTRO,CORDOBA
LOS PINOS,PEDRO ESCOBEDO
STA FE CUAJIMALPA,CUAJIMALPA DE MORELOS
SAN ANGEL,JUAREZ
BUENOS AIRES,CHIAUTEMPAN
EL PARQUE,NAUCALPAN DE JUAREZ
LOMAS LINDAS,ATIZAPAN DE ZARAGOZA
CAZONES,POZA RICA DE HIDALGO
DEL VALLE CENTRO,BENITO JUAREZ
SAN MATEO CUAUTEPEC,TULTITLAN
BOSQUE DE LAS LOMAS,MIGUEL HIDALGO
VIDRIERA,MONTERREY
IRRIGACION,MIGUEL HIDALGO
LERMA DE VILLADA CEN,LERMA
OTRA NO ESPECIFICADA,CHIHUAHUA
SAN SIMON TOLNAHUAC,CUAUHTEMOC
JARDINES DE LA MESA,TIJUANA
ZACATLAN CENTRO,ZACATLAN
COL ANAHUAC,SAN NICOLAS DE LOS GARZA
AGRICOLA ORIENTAL,IZTACALCO
SAN PABLO,QUERETARO
POBLADO MORELOS,SAN PABLO ETLA
CENTRO,TEQUIXQUIAC
CAMPESTRE,CAJEME
SAN ANTONIO CINTA,MERIDA
INDUSTRIAL VALLEJO,AZCAPOTZALCO
IND BENITO JUAREZ,MONTERREY
SAN MARTIN OBISPO TEPETLIXPA,CUAUTITLAN IZCALLI
EX-HIPODROMO DE PERA,CUAUHTEMOC
ALTITO DE PABLO CUIN,ARIO
SAN JUAN DE OCOTAN,ZAPOPAN
JARDINES DE MORELOS,ECATEPEC DE MORELOS
MONTEBELLO,MERIDA
PLAN DE AYALA,TUXTLA GUTIERREZ
SAN FRANCISCO TETECA,AZCAPOTZALCO
BENITO JUAREZ XALOST,ECATEPEC DE MORELOS
FRACC SAN ROQUE,IRAPUATO
CENTRO,VALLE DE BRAVO
LOMAS VERDES 3A SECCION,NAUCALPAN DE JUAREZ
DEL VALLE,BENITO JUAREZ
HIPODROMO DE LA COND,CUAUHTEMOC
ADOLFO PRIETO,GUADALUPE
CENTRAL DE ABASTO,IZTAPALAPA
SAN PEDRO DE LOS PIN,BENITO JUAREZ
EL VERGEL,PIEDRAS NEGRAS
MERIDA CENTRO,MERIDA
LEONES,MONTERREY
MERIDA CENTRO,MERIDA
OLIVAR DE LOS PADRES,ALVARO OBREGON
ZACAPU CENTRO,ZACAPU
ANZURES,MIGUEL HIDALGO
BUENOS AIRES,ZACATECAS
NAZARIO ORTIZ,SALTILLO
CENTRO,TACAMBARO
BOSQUE DE ECHEGARAY,NAUCALPAN
MERCADO DE ABASTOS,GUADALAJARA
SAN LUCAS TEPETLACALCO,TLALNEPANTLA DE BAZ
DELICIAS,CUERNAVACA
SAN MIGUEL,IZTACALCO
GRANJAS MEXICO,IZTACALCO
TLACATECO,TEPOTZOTLAN
SAN FELIPE DEL AGUA 1,OAXACA DE JUAREZ
CENTRO,GUASAVE
COUNTRY CLUB,GUADALAJARA
PASO DEL AGUILA,TECATE
RESIDENCIAL LAS FUENTES,SANTIAGO DE QUERETARO
EL ORO,MONCLOVA
CIUDAD SATELITE,NAUCALPAN
JUSTO SIERRA,ALTAMIRA
SAN ANGEL,QUERETARO
AHUATENO,TEZIUTLAN
HUICHAPAN,MIGUEL HIDALGO
COL EL MUNDO,ALTAMIRA
CENTRO,SOLEDAD DE GRACIANO SANCHEZ
POLANCO V SECCION,MIGUEL HIDALGO
BELLA VISTA,MONTERREY
CALZADA,CARDENAS
ALCE BLANCO,NAUCALPAN
MARAVILLAS,JESUS MARIA
CENTRO,SAN JUAN DEL RIO
BUENA VISTA,TIJUANA
NUEVO LAREDO CENTRO,NUEVO LAREDO
NARVARTE PONIENTE,BENITO JUAREZ
SANTIAGO TEPATLAXCO,NAUCALPAN DE JUAREZ
SANTA MARIA AZTAHUAC,IZTAPALAPA
CENTRO,CUAUHTEMOC
FRACC CHACUIVA II,TEAPA
CENTRO,TUXTLA GUTIERREZ
TLATENCO,TEOLOYUCAN
PORVENIR,OCOTLAN
S PEDRO TOTOLT,TOLUCA
ATLACOMULCO,ATLACOMULCO
HACIENDA LAS CRUCES,MAZATLAN
SANCTORUM,CUAUTLANCINGO
PARQUE INDUSTRIAL CU,CUAUTITLAN IZCALLI
LA ARCADIA,TEHUACAN
CENTRO AREA 8,CUAUHTEMOC
CENTRO DE LA CIUDAD,TEHUACAN
XOCLAN XBECH,MERIDA
PORVENIR,OCOTLAN
SAN JOSE INSURGENTES,BENITO JUAREZ
LA ESTANCIA,ZAPOPAN
AVIACION,SAN LUIS RIO COLORADO
ZIMAPAN CENTRO,ZIMAPAN
PE�A GUERRA,SAN NICOLAS DE LOS GARZA
HIDALGO,NUEVO LAREDO
SAN JUAN DE ARAGON,GUSTAVO A MADERO
TEQUISQUIAPAN,SAN LUIS POTOSI
VALLE GRANDE,HERMOSILLO
SAN ESTEBAN HUITZILA,NAUCALPAN DE JUAREZ
MERIDA CENTRO,MERIDA
DEL PRADO,MONTERREY
IND SAN NICOLAS TLAXCOAPA,TLALNEPANTLA DE BAZ
SAN FCO TOTIMEHUACAN,PUEBLA
MONCLOVA CENTRO,MONCLOVA
SAN FRANCISCO CUAUTL,NAUCALPAN DE JUAREZ
SANTA CRUZ ATOYAC,BENITO JUAREZ
ALTAMIRA,SANTIAGO PAPASQUIARO
CENTRO,MONTERREY
PRIMERA SECCION,MEXICALI
BUENOS AIRES,TAPACHULA
NUEVA OXTOTITLAN,TOLUCA
INDUSTRIAL ATOTO,NAUCALPAN DE JUAREZ
SAN NICOLAS DE LOS GARZA CENTR,SAN NICOLAS DE LOS GARZA
EL MOLINO TEZONCO,IZTAPALAPA
ESTANCIA DE CUITZEO,PONCITLAN
SAN JOSE DE LA NORIA,OAXACA DE JUAREZ
LOMAS DE SOTELO,MIGUEL HIDALGO
SONORA,TIJUANA
LA PAZ,PUEBLA
TRANSITO,CUAUHTEMOC
CIENEGA DE FLORES CE,CIENEGA DE FLORES
LADRON DE GUEVARA,GUADALAJARA
TIERRA BLANCA CENTRO,TIERRA BLANCA
FIDEL VELAZQUEZ,TORREON
ESFUERZO NAL,ECATEPEC
NICOLAS R CASILLAS,TLAJOMULCO DE ZUNIGA
TULANCINGO CENTRO,TULANCINGO DE BRAVO
PRIMERA FRACCION DE CRESPO,CELAYA
CENTRO BARRANQUITAS,GUADALAJARA
SAN BUENAVENTURA,TLALPAN
COL. TALLERES,MONTERREY
ANZURES,MIGUEL HIDALGO
INDUSTRIAL VALLEJO,AZCAPOTZALCO
RIVA PALACIO,RIVA PALACIO
ESPIRITU SANTO,JILOTZINGO
SAN LUIS,HERMOSILLO
JARDINES DE LA PATRI,ZAPOPAN
PEDREGALES DE TANLUM,MERIDA
EL SAUCILLO,MINERAL DE LA REFORMA
DEL VALLE SECT ORIENTE,SAN PEDRO GARZA GARCIA
SAN CRISTOBAL DE LA BARRANCA,ZAPOPAN
SAN FRANCISCO TLALCI,ALMOLOYA DE JUAREZ
ROMA,CUAUHTEMOC
BRITTINGHAM,GOMEZ PALACIO
CIUDAD SATELITE,NAUCALPAN DE JUAREZ
CENTRAL DE ABASTO,IZTAPALAPA
CUAJIMALPA,CUAJIMALPA DE MORELOS
SAN PEDRO MARTIR,TLALPAN
ZONA CENTRO,TAMPICO
TAPACHULA CENTRO,TAPACHULA
ESTRELLA DEL SUR,IZTAPALAPA
PROVIDENCIA,GUADALAJARA
MOLINO DE ROSAS,ALVARO OBREGON
OBRERA,CUAUHTEMOC
ARCOS DEL ALBA,CUAUTITLAN IZCALLI
LOMA BONITA,ZAPOPAN
PONCITLAN CENTRO,PONCITLAN
MULTIPARK PARQUE INDUSTRIAL,APODACA
LOMAS DE TECAMACHALC,NAUCALPAN DE JUAREZ
URIAS,MAZATLAN
DEL VALLE,BENITO JUAREZ
TEPEYAC INSURGENTES,GUSTAVO A MADERO
LINDAVISTA,GUSTAVO A MADERO
RES ZACATENCO,GUSTAVO A MADERO
ALCE BLANCO,NAUCALPAN
AUTOPISTA PERIFERICO,GENERAL ESCOBEDO
SAN BERNARDINO TLAXC,SAN ANDRES CHOLULA
NUEVA VIZCAYA,DURANGO
CIUDAD INDUSTRIAL,TORREON
GRANJAS MEXICO,IZTACALCO
JUAREZ,PUEBLA
FEDERAL,VENUSTIANO CARRANZA
ALTAMIRA,SANTIAGO PAPASQUIARO
CHAPULTEPEC,TORREON
SAN CARLOS,GUADALAJARA
LOMAS DE SOTELO,NAUCALPAN DE JUAREZ
HUERTAS DEL CERRITO,ZAMORA
RES DON VASCO,URUAPAN
SAN MATIAS TEPETOMATITLAN,APETATITLAN DE ANTONIO CARVAJA
PARQUE INDUSTRIAL STIVA AEROPU,PESQUERIA
OTRA NO ESPECIFICADA,DELICIAS
SAN RAFAEL,CUAUHTEMOC
PRADO CHURUBUSCO,COYOACAN
CHAPULTEPEC SUR,MORELIA
SANTA MARIA LA RIBER,CUAUHTEMOC
CENTRO,SAN MARTIN TEXMELUCAN
PUERTO MORELOS,BENITO JUAREZ
TRANSITO,CUAUHTEMOC
EL ROSARIO,GUADALAJARA
TEXCACOA,TEPOTZOTLAN
SAN LUIS TLATILCO,NAUCALPAN DE JUAREZ
DEL VALLE CENTRO,BENITO JUAREZ
COSICOEZA,OAXACA DE JUAREZ
CIUDAD DEL SOL,ZAPOPAN
CENTRO,SAN LUIS POTOSI
CENTRAL DE ABASTOS,IRAPUATO
SAN RAMON,SAN CRISTOBAL DE LAS CASAS
EL DORADO,MAZATLAN
CENTRAL DE ABASTO,IZTAPALAPA
PRIMERO DE MAYO,CHIHUAHUA
LA ESPERANZA,SANTIAGO PAPASQUIARO
LOMAS DE MAZATLAN,MAZATLAN
SAN JUAN TEPEPAN,XOCHIMILCO
ETZATLAN CENTRO,ETZATLAN
JURICA,QUERETARO
TIZAYUCA CENTRO,TIZAYUCA
CENTRO,MADERA
AMERICA 4,NUEVO LAREDO
NARVARTE,BENITO JUAREZ
SAN DIEGO ALCALA,TEMOAYA
DON BOSCO VALLARTA,ZAPOPAN
CENTRO AREA 7,CUAUHTEMOC
ATLANTIDA,COYOACAN
TECNOLOGICO,SANTIAGO DE QUERETARO
VALLEJO,GUSTAVO A MADERO
NUEVA ESPERANZA,SAN JUAN DE SABINAS
COL LEYES DE REFORMA,IZTAPALAPA
LOMAS ALTAS,MIGUEL HIDALGO
CIUDAD INDUSTRIAL,CELAYA
CORDOBA CENTRO,CORDOBA
RINCON EL DORADO,SILAO DE LA VICTORIA
CENTRO CIUDAD AMURAL,CAMPECHE
VICTORIA DE DURANGO,DURANGO
FRACC EL MILAGRO,APODACA
NUEVA INDUSTRIAL VALLEJO,GUSTAVO A MADERO
ERA CHICA,SAN ANDRES CHOLULA
ZONA CENTRO,CANANEA
ARGENTINA PONIENTE,MIGUEL HIDALGO
CENTRAL DE ABASTO,IZTAPALAPA
DEL VALLE,SAN LUIS POTOSI
LINDAVISTA NORTE,GUSTAVO A MADERO
LAS BRISAS,VICTORIA
DEL VALLE,BENITO JUAREZ
CIUDAD SATELITE,NAUCALPAN DE JUAREZ
MOCTEZUMA 2A SECCION,VENUSTIANO CARRANZA
PUEBLO NUEVO,LA PAZ
SECT III,TANGANCICUARO
CENTRO,SAN MARTIN HIDALGO
